key,en,es,ca,gl,eu
project_fetch_failed,No project data found or failed to fetch project.,No se encontraron datos del proyecto o la obtención falló.,No s'han trobat dades del projecte o l'obtenció ha fallat.,Non se atoparon datos do proxecto ou fallou a obtención.,Ez da proiektuaren daturik aurkitu edo eskuratzeak huts egin du.
project_name_hint,Enter your project name here,Introduce aquí el nombre del proyecto,Introdueix aquí el nom del projecte,Introduce aquí o nome do proxecto,Idatzi hemen proiektuaren izena
project_name_label,Project Name,Nombre del proyecto,Nom del projecte,Nome do proxecto,Proiektuaren izena
project_repository_name_hint,Enter repository name here,Introduce aquí el nombre del repositorio,Introdueix aquí el nom del repositori,Introduce aquí o nome do repositorio,Idatzi hemen biltegiaren izena
project_repository_name_label,Project Repository Name,Repositorio del proyecto,Repositori del projecte,Repositorio do proxecto,Proiektuaren biltegia
record_contact,Record Contact,Registrar contacto,Registrar contacte,Rexistrar contacto,Harremana erregistratu
report_an_issue,Report an Issue,Reportar un problema,Informar d'un problema,Informar dun problema,Arazo baten berri eman
report_email_btn1,Report an issue by email,Reportar un problema por correo,Informar d'un problema per correu,Informar dun problema por correo,Arazo baten berri eman posta bidez
report_email_btn2,Request a feature by email,Solicitar una funcionalidad por correo,Sol·licitar una funcionalitat per correu,Solicitar unha funcionalidade por correo,Ezaugarri bat eskatu posta bidez
report_issue_email_body,"Dear Space Mapper support,

I want to report the following issue:","Estimado equipo de soporte de Space Mapper:

Quiero reportar el siguiente problema:","Benvolgut equip de suport de Space Mapper:

Vull informar del problema següent:","Estimado equipo de soporte de Space Mapper:

Quero informar do seguinte problema:","Space Mapper laguntza-talde agurgarria:

Honako arazo honen berri eman nahi dut:"
report_issue_email_subject,Space Mapper: Report Issue,Space Mapper: Reporte de problema,Space Mapper: Informe de problema,Space Mapper: Informe de problema,Space Mapper: Arazo-txostena
report_summary,Help us improve by either reporting an issue or requesting a useful feature.,Ayúdanos a mejorar reportando un problema o solicitando una funcionalidad útil.,Ajuda'ns a millorar informant d'un problema o sol·licitant una funcionalitat útil.,Axúdanos a mellorar informando dun problema ou solicitando unha funcionalidade útil.,Lagundu hobetzen arazo baten berri emanez edo ezaugarri erabilgarri bat eskatuz.
reset,Reset,Restablecer,Restablir,Restablecer,Berrezarri
save_and_view_project,Save and View Project,Guardar y ver proyecto,Desar i veure el projecte,Gardar e ver proxecto,Gorde eta ikusi proiektua
scan_url_qr_code,Scan URL QR Code,Escanear código QR de URL,Escanejar codi QR d'URL,Escanear código QR de URL,Eskaneatu URL QR kodea
select_age_group,Select age group,Selecciona un grupo de edad,Selecciona un grup d'edat,Selecciona un grupo de idade,Aukeratu adin-talde bat
select_language,Language,Idioma,Idioma,Idioma,Hizkuntza
share_locations,Share Locations,Compartir ubicaciones,Compartir ubicacions,Compartir localizacións,Kokapenak partekatu
side_drawer_title,Space Mapper Menu,Menú de Space Mapper,Menú de Space Mapper,Menú de Space Mapper,Space Mapper menua
speed,Speed,Velocidad,Velocitat,Velocidade,Abiadura
start,Start,Comenzar,Començar,Comezar,Hasi
submit,Submit,Enviar,Enviar,Enviar,Bidali
tiger_in_car,Tiger in Car,Tigre en el coche,Tigre al cotxe,Tigre no coche,Tigrea autoan
tiger_in_car_not_started,Not started,Sin iniciar,No iniciat,Sen iniciar,Hasi gabe
view_project,View Project,Ver proyecto,Veure projecte,Ver proxecto,Ikusi proiektua
visit_project_website,Visit Project Website,Visitar sitio web del proyecto,Visitar el web del projecte,Visitar a web do proxecto,Bisita ezazu proiektuaren webgunea
was_the_contact_male_female?,Was the contact male or female?,¿El contacto era hombre o mujer?,El contacte era home o dona?,O contacto era home ou muller?,Kontaktua gizona ala emakumea zen?
why_experiment_finished,Why did the experiment finish?,¿Por qué terminó el experimento?,Per què ha acabat l'experiment?,Por que rematou o experimento?,Zergatik amaitu da esperimentua?
